Student,ID,SIS User ID,SIS Login ID,Root Account,Section,Student's Request for Authorization of Absence - Webcourses Quiz for Step 1 (7914767),Attendance - Final Exam Rebuttal 67% or more (7914860),Attendance (7965941),Prerequisite / Financial Aid Quiz (7914812),EC: W02-Video-Content-Quiz-Spring-2023 (7914857),EC: W03-Video-Content-Quiz-Spring-2023 (7914771),EC: W04-Video-Content-Quiz-Spring-2023 (7914852),EC: W05-Video-Content-Quiz-Spring-2023 (7914851),EC: W06-Video-Content-Quiz-Spring-2023 (7914760),EC Total to Ex1 (7914871),EC: W07-Video-Content-Quiz-Spring-2023 (7914849),EC: W09-Video-Content-Quiz (7914855),EC: W11-Video-Content-Quiz-Spring-2023 (7914772),EC: W12-Video-Content-Quiz-Spring-2023 (7914759),EC Total to Ex2 (7914872),EC: W13-Video-Content-Quiz-Spring-2023 (7914757),EC: W08-Video-Content-Quiz-Spring-2023 (7914821),EC Total to Final (7914873),FYI - not an assignment: Intel Overclocking video (7914875),Quiz 3 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914754),Final Exam-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914775),EC: W14-Video-Content-Quiz-Spring-2023 (7970796),EC: W15-Video-Content-Quiz-Spring-2023 (7978678),Midterm Exam 1 Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914847),Midterm Exam 2-s Raw Score without curve which is Not used for letter grade calculation - Requires Respondus LockDown Browser (7914795),EC-Bonus-Project (7914868),Attendance - Quiz 1 rebuttal (7940848),Attendance - Midterm 1 rebuttal (7914861),Attendance - Quiz 2 rebuttal (7914863),Attendance - Midterm 2 Rebuttal (7914862),Attendance - Quiz 3 Rebuttal (7974489),Midterm Exam 1 + EC (7914876),Midterm Exam 2 + EC (7914877),Final-s+Video-EC+Lab-EC (7914874),Quiz 1- Requires Respondus LockDown Browser (7914782),Quiz 2 - Requires Respondus LockDown Browser (7934760),Quiz 3 with Curve (7914884),Project #1 Score (7914880),Collaborative Activity #1 Score (7914864),Project #2 Score (7914881),Collaborative Activity #2 Score (7914865),Project 3 (7914882),Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Assignment Reminders Current Score,Assignment Reminders Unposted Current Score,Assignment Reminders Final Score,Assignment Reminders Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Imported Assignments Current Score,Imported Assignments Unposted Current Score,Imported Assignments Final Score,Imported Assignments Unposted Final Score,Component Scores (instead weighted in corresponding category after EC added) Current Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Current Score,Component Scores (instead weighted in corresponding category after EC added) Final Score,Component Scores (instead weighted in corresponding category after EC added) Unposted Final Score,(Midterm Exam 1)+EC Category Current Score,(Midterm Exam 1)+EC Category Unposted Current Score,(Midterm Exam 1)+EC Category Final Score,(Midterm Exam 1)+EC Category Unposted Final Score,(Midterm Exam 2)+EC Category Current Score,(Midterm Exam 2)+EC Category Unposted Current Score,(Midterm Exam 2)+EC Category Final Score,(Midterm Exam 2)+EC Category Unposted Final Score,(Final Exam)+EC Category Current Score,(Final Exam)+EC Category Unposted Current Score,(Final Exam)+EC Category Final Score,(Final Exam)+EC Category Unposted Final Score,Quiz1-Category Current Score,Quiz1-Category Unposted Current Score,Quiz1-Category Final Score,Quiz1-Category Unposted Final Score,Quiz2-Category Current Score,Quiz2-Category Unposted Current Score,Quiz2-Category Final Score,Quiz2-Category Unposted Final Score,Quiz3-Category Current Score,Quiz3-Category Unposted Current Score,Quiz3-Category Final Score,Quiz3-Category Unposted Final Score,Project 1 Materials Overall Category Current Score,Project 1 Materials Overall Category Unposted Current Score,Project 1 Materials Overall Category Final Score,Project 1 Materials Overall Category Unposted Final Score,Project 1 Collaborative Category Current Score,Project 1 Collaborative Category Unposted Current Score,Project 1 Collaborative Category Final Score,Project 1 Collaborative Category Unposted Final Score,Project 2 Materials Overall Category Current Score,Project 2 Materials Overall Category Unposted Current Score,Project 2 Materials Overall Category Final Score,Project 2 Materials Overall Category Unposted Final Score,Project 2 Collaborative Activity Category Current Score,Project 2 Collaborative Activity Category Unposted Current Score,Project 2 Collaborative Activity Category Final Score,Project 2 Collaborative Activity Category Unposted Final Score,Project 3 Materials Overall Category Current Score,Project 3 Materials Overall Category Unposted Current Score,Project 3 Materials Overall Category Final Score,Project 3 Materials Overall Category Unposted Final Score,Migrated Quizzes Current Score,Migrated Quizzes Unposted Current Score,Migrated Quizzes Final Score,Migrated Quizzes Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade
,,,,,,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Points Possible,,,,,,0,100,100,7,1,1,1,1,1,5,1,2,1,1,5,1,2,12,0,25,100,1,1,100,100,10,100,100,100,100,100,100,100,100,25,25,25,100,100,100,100,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
1,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,95.56,77.78,7,0.5,0,1,0,1,2.5,0,0,0,0,1,0,1,11,,20,66.37,1,0,91.5,81.47,10,100,100,100,100,50,102,91.47,77.37,22.17,16,23,93.92,100,89.75,87.5,79,86.67,86.67,86.67,86.67,,,,,52.5,52.5,52.5,52.5,68.79,68.79,68.79,68.79,89.15,89.15,89.15,89.15,102,102,102,102,91.47,91.47,91.47,91.47,77.37,77.37,77.37,77.37,88.67,88.67,88.67,88.67,64,64,64,64,92,92,92,92,93.92,93.92,93.92,93.92,100,100,100,100,89.75,89.75,89.75,89.75,87.5,87.5,87.5,87.5,79,79,79,79,,,,,88.54,88.54,88.54,88.54,A,A,A,A
2,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,90,100,4,0.5,0,1,1,1,3.5,1,1.25,1,1,3.25,1,0,14,,9,36.67,1,1,67.33,47.3,10,100,100,50,100,100,78.83,58.55,50.67,17.17,25,15,97.94,150,92.91,237.5,94.3,95,95,95,95,,,,,63.75,63.75,63.75,63.75,37.53,37.53,37.53,37.53,80.93,80.93,80.93,80.93,78.83,78.83,78.83,78.83,58.55,58.55,58.55,58.55,50.67,50.67,50.67,50.67,68.68,68.68,68.68,68.68,100,100,100,100,60,60,60,60,97.94,97.94,97.94,97.94,150,150,150,150,92.91,92.91,92.91,92.91,237.5,237.5,237.5,237.5,94.3,94.3,94.3,94.3,,,,,76.75,76.75,76.75,76.75,B-,B-,B-,B-
3,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,83.33,66.67,7,0.5,1,1,0.5,1,4,0,0,0.33,1,2.33,0,2,12,,25,85.17,0,1,100,85.33,10,100,100,100,50,75,112,96.66,97.17,25,27,28,95.9,100,96.66,175,100.6,75,75,75,75,,,,,71.67,71.67,71.67,71.67,87.53,87.53,87.53,87.53,87.37,87.37,87.37,87.37,112,112,112,112,96.66,96.66,96.66,96.66,97.17,97.17,97.17,97.17,100,100,100,100,108,108,108,108,112,112,112,112,95.9,95.9,95.9,95.9,100,100,100,100,96.66,96.66,96.66,96.66,175,175,175,175,100.6,100.6,100.6,100.6,,,,,103.19,103.19,103.19,103.19,A,A,A,A
4,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,0,90.56,77.78,7,0,0,0,0,1,1,0,0,0,1,0,0,0,11,,20,41.58,0,0,78,70.87,10,100,100,100,75,50,87,79.87,52.58,25,19,23,95.94,100,94.11,87.5,101.35,84.17,84.17,84.17,84.17,,,,,45,45,45,45,48.49,48.49,48.49,48.49,82.24,82.24,82.24,82.24,87,87,87,87,79.87,79.87,79.87,79.87,52.58,52.58,52.58,52.58,100,100,100,100,76,76,76,76,92,92,92,92,95.94,95.94,95.94,95.94,100,100,100,100,94.11,94.11,94.11,94.11,87.5,87.5,87.5,87.5,101.35,101.35,101.35,101.35,,,,,81.44,81.44,81.44,81.44,B+,B+,B+,B+
5,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,16.67,0,5,0.5,1,0,0,0,1.5,0,1,0,0,1,0,0,10,,18.27,61.17,0,0,71.67,68.17,10,66.67,16.67,0,0,0,81.17,78.17,71.17,23.67,19,21.27,94.01,150,93.18,137.5,100.6,8.34,8.34,8.34,8.34,,,,,37.5,37.5,37.5,37.5,62.55,62.55,62.55,62.55,32.84,32.84,32.84,32.84,81.17,81.17,81.17,81.17,78.17,78.17,78.17,78.17,71.17,71.17,71.17,71.17,94.68,94.68,94.68,94.68,76,76,76,76,85.08,85.08,85.08,85.08,94.01,94.01,94.01,94.01,150,150,150,150,93.18,93.18,93.18,93.18,137.5,137.5,137.5,137.5,100.6,100.6,100.6,100.6,,,,,84.79,84.79,84.79,84.79,A,A,A,A
6,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,35.83,33.33,5,0,0,0,0.5,1,1.5,0,0.4,0,1,2.4,1,2,12,,19.5,58.5,0,0,59,79.14,10,12.5,33.33,50,50,50,68.5,90.53,70.5,18.33,14,22.5,92.96,87.5,95.67,87.5,100.3,34.58,34.58,34.58,34.58,,,,,54.5,54.5,54.5,54.5,61.42,61.42,61.42,61.42,48.45,48.45,48.45,48.45,68.5,68.5,68.5,68.5,90.53,90.53,90.53,90.53,70.5,70.5,70.5,70.5,73.33,73.33,73.33,73.33,56,56,56,56,90,90,90,90,92.96,92.96,92.96,92.96,87.5,87.5,87.5,87.5,95.67,95.67,95.67,95.67,87.5,87.5,87.5,87.5,100.3,100.3,100.3,100.3,,,,,80.6,80.6,80.6,80.6,B+,B+,B+,B+
7,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,100,100,6,1,0,1,0.5,1,3.5,0,0.6,1,1,2.6,0,1,11,,20.07,78,0,0,92.67,70.6,10,100,100,100,100,100,104.17,82.2,89,23.5,26,23.07,96,200,98.61,287.5,92.6,100,100,100,100,,,,,65.5,65.5,65.5,65.5,77.22,77.22,77.22,77.22,94.83,94.83,94.83,94.83,104.17,104.17,104.17,104.17,82.2,82.2,82.2,82.2,89,89,89,89,94,94,94,94,104,104,104,104,92.28,92.28,92.28,92.28,96,96,96,96,200,200,200,200,98.61,98.61,98.61,98.61,287.5,287.5,287.5,287.5,92.6,92.6,92.6,92.6,,,,,99.44,99.44,99.44,99.44,A,A,A,A
8,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,96.11,88.89,5,1,1,0,1,0,3,0,2,0,0,4,1,2,11,,8.67,58.67,0,0,72.67,52.8,10,91.67,100,100,100,100,83.67,65.8,69.67,19.5,20.5,11.67,97,100,95.41,237.5,98.6,92.5,92.5,92.5,92.5,,,,,65,65,65,65,53.02,53.02,53.02,53.02,88.33,88.33,88.33,88.33,83.67,83.67,83.67,83.67,65.8,65.8,65.8,65.8,69.67,69.67,69.67,69.67,78,78,78,78,82,82,82,82,46.68,46.68,46.68,46.68,97,97,97,97,100,100,100,100,95.41,95.41,95.41,95.41,237.5,237.5,237.5,237.5,98.6,98.6,98.6,98.6,,,,,81.28,81.28,81.28,81.28,B+,B+,B+,B+
9,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,80,66.67,6.67,0.5,1,1,0,0,2.5,0,0,0,0,1,0,1,10,,20,60.2,0,0,64.77,66.8,10,100,83.33,100,50,75,75.27,76.8,70.2,16.5,18.5,23,93.01,137.5,92.05,125,100.6,73.33,73.33,73.33,73.33,,,,,50.83,50.83,50.83,50.83,63.15,63.15,63.15,63.15,77.45,77.45,77.45,77.45,75.27,75.27,75.27,75.27,76.8,76.8,76.8,76.8,70.2,70.2,70.2,70.2,66,66,66,66,74,74,74,74,92,92,92,92,93.01,93.01,93.01,93.01,137.5,137.5,137.5,137.5,92.05,92.05,92.05,92.05,125,125,125,125,100.6,100.6,100.6,100.6,,,,,81.3,81.3,81.3,81.3,B+,B+,B+,B+
10,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,100,100,5,1,0,0,1,0,2,0,1.6,1,1,4.6,1,2,13,,15.6,36.17,1,1,50.5,52.93,9,100,100,100,100,100,60.5,73.53,49.17,7.33,13.5,18.6,89.92,62.5,91.67,87.5,99.7,100,100,100,100,,,,,68,68,68,68,42.34,42.34,42.34,42.34,86.26,86.26,86.26,86.26,60.5,60.5,60.5,60.5,73.53,73.53,73.53,73.53,49.17,49.17,49.17,49.17,29.32,29.32,29.32,29.32,54,54,54,54,74.4,74.4,74.4,74.4,89.92,89.92,89.92,89.92,62.5,62.5,62.5,62.5,91.67,91.67,91.67,91.67,87.5,87.5,87.5,87.5,99.7,99.7,99.7,99.7,,,,,67.22,67.22,67.22,67.22,C,C,C,C
11,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,66.67,77.78,6,1,0,1,0,0,2,0,0,0,0,2,0,2,10,,14,39,1,0,59.67,35.27,9,66.67,100,100,0,50,69.67,46.27,49,9.83,22,17,95.51,75.87,150,100,91,72.22,72.22,72.22,72.22,,,,,50,50,50,50,42.52,42.52,42.52,42.52,59.24,59.24,59.24,59.24,69.67,69.67,69.67,69.67,46.27,46.27,46.27,46.27,49,49,49,49,39.33,39.33,39.33,39.33,88,88,88,88,68,68,68,68,95.51,95.51,95.51,95.51,75.87,75.87,75.87,75.87,150,150,150,150,100,100,100,100,91,91,91,91,,,,,69.83,69.83,69.83,69.83,C,C,C,C
12,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,13.2,31.83,0,0,60,56.67,10,25,0,0,0,0,68,65.67,41.83,20.33,21.5,16.2,94.94,150,95.28,87.5,100.3,2.5,2.5,2.5,2.5,,,,,20,20,20,20,35.46,35.46,35.46,35.46,21.36,21.36,21.36,21.36,68,68,68,68,65.67,65.67,65.67,65.67,41.83,41.83,41.83,41.83,81.33,81.33,81.33,81.33,86,86,86,86,64.8,64.8,64.8,64.8,94.94,94.94,94.94,94.94,150,150,150,150,95.28,95.28,95.28,95.28,87.5,87.5,87.5,87.5,100.3,100.3,100.3,100.3,,,,,71.79,71.79,71.79,71.79,C,C,C,C
13,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,73.33,66.67,5,0.5,0,1,0,1,2.5,0,0,0,0,1,0,1,11,,15.67,37.38,1,0,55.66,51.46,10,100,100,75,25,25,66.17,61.47,48.38,9,19.5,18.67,79.91,87.5,90.98,37.5,100.6,70,70,70,70,,,,,42.5,42.5,42.5,42.5,42.56,42.56,42.56,42.56,62.27,62.27,62.27,62.27,66.17,66.17,66.17,66.17,61.47,61.47,61.47,61.47,48.38,48.38,48.38,48.38,36,36,36,36,78,78,78,78,74.68,74.68,74.68,74.68,79.91,79.91,79.91,79.91,87.5,87.5,87.5,87.5,90.98,90.98,90.98,90.98,37.5,37.5,37.5,37.5,100.6,100.6,100.6,100.6,,,,,66.14,66.14,66.14,66.14,C,C,C,C
14,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,92.78,100,5,0,0,1,0.5,0,1.5,0,0.2,1,1,3.2,1,2,13,,16.67,63.92,1,0,67,71.17,10,100,100,100,75,100,76.5,85.37,81.92,10.33,20.5,19.67,90.67,150,91,100,98.6,96.39,96.39,96.39,96.39,,,,,58.5,58.5,58.5,58.5,64.24,64.24,64.24,64.24,87.77,87.77,87.77,87.77,76.5,76.5,76.5,76.5,85.37,85.37,85.37,85.37,81.92,81.92,81.92,81.92,41.33,41.33,41.33,41.33,82,82,82,82,78.68,78.68,78.68,78.68,90.67,90.67,90.67,90.67,150,150,150,150,91,91,91,91,100,100,100,100,98.6,98.6,98.6,98.6,,,,,83.48,83.48,83.48,83.48,A-,A-,A-,A-
15,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,89.72,77.78,5,1,0,0,1,1,4,0,0.95,1,1,3.95,0,2,11,,18.4,77.67,0,0,89.5,77.47,10,87.5,83.33,100,100,75,101.5,91.32,88.67,24,27,21.4,96.4,100,96.17,87.5,98.6,83.75,83.75,83.75,83.75,,,,,64.75,64.75,64.75,64.75,75.64,75.64,75.64,75.64,87.72,87.72,87.72,87.72,101.5,101.5,101.5,101.5,91.32,91.32,91.32,91.32,88.67,88.67,88.67,88.67,96,96,96,96,108,108,108,108,85.6,85.6,85.6,85.6,96.4,96.4,96.4,96.4,100,100,100,100,96.17,96.17,96.17,96.17,87.5,87.5,87.5,87.5,98.6,98.6,98.6,98.6,,,,,94.91,94.91,94.91,94.91,A,A,A,A
16,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,85.28,55.56,6,1,0,0,0,0,1,0,0.5,1,0,1.5,0,0,6,,10.67,39.03,0,0,55.66,47.83,6,87.5,83.33,100,100,100,68.67,58.33,45.03,21.33,22.5,13.67,86.12,150,85.74,125,88.25,70.42,70.42,70.42,70.42,,,,,42.5,42.5,42.5,42.5,39.13,39.13,39.13,39.13,81.74,81.74,81.74,81.74,68.67,68.67,68.67,68.67,58.33,58.33,58.33,58.33,45.03,45.03,45.03,45.03,85.32,85.32,85.32,85.32,90,90,90,90,54.68,54.68,54.68,54.68,86.12,86.12,86.12,86.12,150,150,150,150,85.74,85.74,85.74,85.74,125,125,125,125,88.25,88.25,88.25,88.25,,,,,69.61,69.61,69.61,69.61,C,C,C,C
17,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,41.67,0,4,0,0,1,0,1,2,0,0,0,0,0,0,0,10,,6,17.67,0,0,58,19.63,10,91.67,66.67,50,0,0,68,28.63,27.67,14.5,4,9,73.41,87.5,48.88,87.5,70.6,20.84,20.84,20.84,20.84,,,,,30,30,30,30,18.64,18.64,18.64,18.64,41.69,41.69,41.69,41.69,68,68,68,68,28.63,28.63,28.63,28.63,27.67,27.67,27.67,27.67,58,58,58,58,16,16,16,16,36,36,36,36,73.41,73.41,73.41,73.41,87.5,87.5,87.5,87.5,48.88,48.88,48.88,48.88,87.5,87.5,87.5,87.5,70.6,70.6,70.6,70.6,,,,,47.36,47.36,47.36,47.36,F,F,F,F
18,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,75,66.67,6,0,1,0,0,0,1,0,0,0,0,0,0,0,9,,10.57,36.83,0,0,61.67,48.27,9,91.67,66.67,100,50,75,75.67,57.27,45.83,18.67,22.5,13.57,90.31,125,76.88,87.5,87.4,70.83,70.83,70.83,70.83,,,,,35,35,35,35,37.33,37.33,37.33,37.33,70.74,70.74,70.74,70.74,75.67,75.67,75.67,75.67,57.27,57.27,57.27,57.27,45.83,45.83,45.83,45.83,74.68,74.68,74.68,74.68,90,90,90,90,54.28,54.28,54.28,54.28,90.31,90.31,90.31,90.31,125,125,125,125,76.88,76.88,76.88,76.88,87.5,87.5,87.5,87.5,87.4,87.4,87.4,87.4,,,,,68.77,68.77,68.77,68.77,C,C,C,C
19,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,0,62.78,88.89,7,0.5,0,0,1,0,1.5,0,0,0,0,2,1,2,1,,20,66.67,0,0,88.67,62.17,0,50,100,50,25,75,98.17,73.17,67.67,22.67,27,23,89.32,0,77.14,87.5,100.6,75.83,75.83,75.83,75.83,,,,,57.5,57.5,57.5,57.5,68.24,68.24,68.24,68.24,63.5,63.5,63.5,63.5,98.17,98.17,98.17,98.17,73.17,73.17,73.17,73.17,67.67,67.67,67.67,67.67,90.67,90.67,90.67,90.67,108,108,108,108,92,92,92,92,89.32,89.32,89.32,89.32,0,0,0,0,77.14,77.14,77.14,77.14,87.5,87.5,87.5,87.5,100.6,100.6,100.6,100.6,,,,,82.78,82.78,82.78,82.78,A-,A-,A-,A-
20,,,,webcourses.ucf.edu,EEL3801C-23Spring 0M01,,77.78,88.89,6,0.5,1,0,0,0,1.5,0,0,0,1,2,0,2,10,,17.07,76.33,0,0,86.66,83.6,9,100,100,50,50,100,96.17,94.6,86.33,22.33,22,20.07,88.96,100,91.05,87.5,88.6,83.33,83.33,83.33,83.33,,,,,52.5,52.5,52.5,52.5,73.55,73.55,73.55,73.55,81.59,81.59,81.59,81.59,96.17,96.17,96.17,96.17,94.6,94.6,94.6,94.6,86.33,86.33,86.33,86.33,89.32,89.32,89.32,89.32,88,88,88,88,80.28,80.28,80.28,80.28,88.96,88.96,88.96,88.96,100,100,100,100,91.05,91.05,91.05,91.05,87.5,87.5,87.5,87.5,88.6,88.6,88.6,88.6,,,,,90.85,90.85,90.85,90.85,A,A,A,A
